seq_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV01d20de2d10b,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,NA,NA
ASV8397ee499aaf,Bacteria,Elusimicrobiota,Elusimicrobia,Lineage IV,NA,NA,NA
ASV1e50ee439aab,Bacteria,Chloroflexota,TK10,NA,NA,NA,NA
ASV6b9d037633e7,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,NA
ASV66e9935efcff,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,NA
ASV76f291c5f3c2,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,NA
ASV1671e5540d1f,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA
ASVa4a35c924ac6,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,NA
ASV2b4f2ee41f8e,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
ASVec8d3348e12f,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
ASV725e541650b0,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,NA
ASV83af1600db44,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,NA,NA
ASV7a05a0ea8040,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV10ed5551693b,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,NA
ASVa79e2570d239,Bacteria,Myxococcota,Polyangiia,Polyangiales,Polyangiaceae,Sorangium,NA
ASVe890b1ac4e9b,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,sprentiae
ASV33d0787bb582,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Nocardiaceae,Nocardia,NA
ASVba74b8519f28,Bacteria,Acidobacteriota,Acidobacteriae,Terriglobales,NA,NA,NA
ASVa4e97a575b98,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,NA,NA
ASVe4e3c887f7d5,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Methylacidiphilales,Methylacidiphilaceae,NA,NA
ASV1336afe5ef3f,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,NA,NA
ASVb40e53ed9847,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
ASV55fbf366d6c8,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,NA,NA
ASV66afc3cb0096,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
ASV2f29b7456fce,Bacteria,Myxococcota,Polyangiia,Polyangiales,Sandaracinaceae,NA,NA
ASV0aeeac15e927,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,NA
ASVc0b2b19ceb86,Bacteria,Acidobacteriota,Acidobacteriae,Terriglobales,NA,NA,NA
ASVa2a0c4f6d68b,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,NA
ASVfc929a62e265,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,NA
ASV5eeaf7af9b6e,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV527ac26122f3,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Azohydromonas,NA
ASV54af9741581b,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Pedosphaerales,Pedosphaeraceae,Ellin516,NA
ASV9586466a3997,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASVdc096d5ee223,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,silvatlantica
ASV80abb3db0628,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,NA
ASV3e7690019708,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella,NA
ASVe72616290127,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Pseudoxanthomonas,mexicana
ASV302a553c07b1,Bacteria,Actinomycetota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Microbispora,NA
ASV7bd01a77d6af,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,NA,NA,NA
ASV8a402e255fdc,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
ASV8f45e3505cdb,Bacteria,Chloroflexota,Ktedonobacteria,B10-SB3A,NA,NA,NA
ASV14b56d35d326,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,KF-JG30-B3,NA,NA
ASVd99acedbabcc,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,NA
ASVcf928155e50e,Bacteria,Actinomycetota,Actinobacteria,Kineosporiales,Kineosporiaceae,Angustibacter,NA
ASV0e08caffa7f7,Bacteria,Chloroflexota,Ktedonobacteria,C0119,NA,NA,NA
ASVa7f1c3c0d860,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA
ASV627ba9f574cf,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,NA
ASV08b93617509d,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,NA
ASVe581788116af,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Parviterribacter,NA
ASV56abff79070c,Bacteria,Myxococcota,Polyangiia,Polyangiales,Sandaracinaceae,NA,NA
ASV31d4c4cfb410,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,NA
ASVdfe55c116d98,Bacteria,Actinomycetota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,NA
ASV0872bb9e2692,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
ASV6017a4355e9c,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,NA
ASV628053b73714,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
ASV597755a82b58,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidicaldus,NA
ASVf5c50c5991ae,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
ASVc0803bcd537a,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASV17a2ec88c59a,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,sacchari
ASVc28938786ad4,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
ASVb20beb59c47b,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASVa57af8b7e1a5,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,NA
ASVb77cd5a71e88,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,NA,NA
ASV4da238719638,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,NA
ASVe3cf21ed4f79,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,NA
ASV7b01581b6134,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingoaurantiacus,NA
ASVc71f311a9799,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Roseimaritima,NA
ASV7a06a440e4b3,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA,NA
ASV60df5e441888,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,NA
ASV457608c95c17,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Pseudolabrys,NA
ASV873f9d8f7cfe,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Pseudolabrys,NA
ASVdf387d454e62,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingoaurantiacus,NA
ASVc1a56c158a36,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,NA
ASV330fd38bc2ae,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,nonchromogenicum
ASV3910dfc03108,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,NA,NA
ASVada400e46efb,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Brucella,NA
ASV2108174a528c,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,NA
ASVc54e9d7da483,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,NA,NA
ASV46046265cea1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,mizutaii
ASV04471b217bf1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Pseudogulbenkiania,NA
ASV0fd7fb8d484f,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Pseudolabrys,NA
ASVb6372aae23a4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV3af9c204e5a0,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
ASV21b7b0b7c75f,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
ASV1574a969eed6,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV435d31388764,Bacteria,Candidatus Kapabacteria,Kapabacteria,Kapabacteriales,NA,NA,NA
ASV7e963f7621f3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV8e37e7dfb9e8,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,NA,NA
ASV572bf36da633,Bacteria,Gemmatimonadota,S0134 terrestrial group,NA,NA,NA,NA
ASVd02a29b14bcc,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
ASV63b8211b0a87,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,NA
ASV536d156be664,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
ASVf03f6482a9f2,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Thermomonas,NA
ASV530453d7d282,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,stutzeri
ASV918b308a2d99,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Thermomonas,NA
ASV185f6f431a76,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
ASV3f0e9ca833b3,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,NA,NA
ASV9c45eb6a8982,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillibacter,NA
ASV2056f285b16a,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,NA,NA
ASVbb51db97ce8b,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Luteimonas,marina
ASV40f5e729fd47,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
ASVc1979a623f54,Bacteria,Chloroflexota,Ktedonobacteria,B12-WMSP1,NA,NA,NA
ASVc7a399bb2223,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
ASV6f66e39e6f50,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Rhodanobacter,NA
ASV429ed5fbf18d,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA,NA
ASV5c97e2b18998,Bacteria,Armatimonadota,Chthonomonadia,Chthonomonadales,Chthonomonadaceae,Chthonomonas,NA
ASV8da21205d9cb,Bacteria,Acidobacteriota,Acidobacteriae,Terriglobales,Acidobacteriaceae (Subgroup 1),NA,NA
ASV9815fce58859,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,NA
ASVc205801e2951,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7a,NA
ASVd58e81fc2f83,Bacteria,Chloroflexota,Ktedonobacteria,C0119,NA,NA,NA
ASV9d1b091b5c5d,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,antarcticus
ASV6dc842e11230,Bacteria,Candidatus Eremiobacterota,Eremiobacteria,NA,NA,NA,NA
ASV7b86eadd9b20,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
ASVceea28ba7971,Bacteria,RCP2-54,NA,NA,NA,NA,NA
ASV66c25bac43b0,Bacteria,NA,NA,NA,NA,NA,NA
ASV542ed0d6f903,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV32bfd202140c,Bacteria,NA,NA,NA,NA,NA,NA
ASV3c523881dbda,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,NA,NA
ASVd0f97b65a60f,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
ASVef7c70ef4e2c,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,NA,NA
ASVa517575e452f,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA
ASVbf4e277a4443,Bacteria,Acidobacteriota,Acidobacteriae,Terriglobales,Acidobacteriaceae (Subgroup 1),NA,NA
ASV3a9c96447a08,Bacteria,Armatimonadota,Chthonomonadia,Chthonomonadales,Chthonomonadaceae,Chthonomonas,NA
ASV9656ce1ff269,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,NA
ASV7332628d7c72,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Pedosphaerales,Pedosphaeraceae,NA,NA
ASVbcc387ffb6ad,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
ASV5f0e79956c6c,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,NA
ASVcabd843853ce,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,laevaniformans
ASV100c296ff524,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
ASV90844fd80b16,Bacteria,Acidobacteriota,Acidobacteriae,Terriglobales,NA,NA,NA
ASVed8adb9438a2,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASVb647e4dc30e2,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV1db889d8533a,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,NA
